"","Win","Kills","Assists","Deaths","headshotsLanded","killsPerMinute","distancePortaled","portalsSpawned","damageDealt"
"141",0,9,7,15,2,1.29,453,32,1470
"142",1,14,2,4,3,2.8,434,23,1309
"143",1,13,6,16,7,1.08,896,39,2468
"144",1,10,4,7,6,2,441,13,1633
"145",0,10,4,10,4,1.43,654,31,1547
"146",0,9,7,17,4,1.12,163,11,1435
"147",1,13,1,6,7,2.17,36,6,1444
"148",1,13,2,11,0,1.62,1204,45,1706
"149",0,6,4,15,2,1,629,35,760
"150",1,12,2,10,6,2,630,32,1581
"151",0,10,0,12,3,1.43,749,29,1070
"152",0,5,1,6,5,1.25,186,13,977
"153",1,9,0,13,4,1.8,211,17,1202
"154",1,25,0,14,5,4.17,307,17,625
"155",0,16,0,14,14,4,95,7,1783
"156",1,9,2,8,6,2.25,423,21,1171
"157",1,10,0,6,8,2.5,632,21,918
"158",0,7,1,11,7,1.75,0,8,800
"159",1,10,5,6,7,2,421,26,1060
"160",1,13,6,11,13,2.6,0,0,1587
"161",0,14,1,8,14,2,604,42,1430
"162",1,11,1,8,10,2.2,84,2,1125
"163",1,9,3,9,8,2.25,0,2,1020
"164",1,18,8,20,11,1.64,626,28,2641
"165",0,7,4,11,4,1.17,352,20,1074
"166",0,2,2,7,7,0.5,309,13,849
"167",0,8,8,13,5,1.33,450,12,929
"168",1,15,0,9,14,2.5,27,2,1485
"169",1,17,2,9,16,3.4,0,0,1670
"170",1,11,8,17,20,1.22,515,22,1953
"171",0,7,3,14,12,1.17,410,18,1218
"172",1,11,11,11,15,1.38,315,16,1640
"173",1,6,2,3,3,1.5,442,22,654
"174",1,14,2,9,11,2.8,199,8,1179
"175",0,10,1,6,11,1.43,526,18,1070
"176",1,11,3,6,11,2.2,895,27,1310
"177",1,10,3,10,18,1.67,285,14,1579
"178",1,6,3,3,2,1.5,346,15,708
"179",0,4,0,6,4,1,272,12,376
"180",1,13,2,8,7,2.6,10,7,1386
"181",0,7,4,9,6,0.78,340,17,1178
"182",0,5,3,9,6,0.83,204,11,984
"183",1,13,2,6,2,2.6,171,4,1354
"184",0,17,2,13,5,2.43,205,3,1874
"185",0,8,1,15,2,1.14,1032,36,1020
"186",0,10,2,9,8,3.33,57,2,1131
"187",1,20,0,7,6,3.33,134,4,2226
"188",0,6,2,6,7,1,254,17,826
"189",1,7,3,6,4,1.75,274,14,896
"190",1,6,8,8,8,1.2,283,8,1315
"191",0,7,8,15,7,1.17,38,0,1457
"192",0,7,0,12,7,1.4,18,0,850
"194",0,5,1,7,6,0.83,285,18,838
"195",0,5,0,6,3,1.67,61,2,700
"196",0,4,2,6,0,0.67,403,22,866
"197",0,3,1,10,1,0.75,274,4,733
"198",0,14,0,13,10,4.67,0,2,1125
"199",1,9,7,13,15,1.5,88,2,1352
"200",1,12,10,13,12,1.33,205,12,1842
